question,level,btl,source
Define Internet of Things (IoT).,easy,1,srm
State and prove time shifting and integration property of Laplace Transform.,medium,4,devane
"Devise a new methodology for quantifying the carbon footprint of construction projects throughout their lifecycle, including materials production, construction, operation, and demolition.",hard,6,devane
Can you break down the factors contributing to climate change?,medium,4,devane
"After extraction, the data may need to undergo transformation. List the tasks 19.",easy,2,srm
Demonstrate how to,medium,3,srm
What is the use of oxymeters? Classify the types of oxymeters.,easy,2,srm
Explain the Concept of Acceleration Image Principal.,easy,1,devane
(ii) Illustrate how ESP is applied to both these modes. (3) 8 Explain the operational description of PGP.,medium,4,srm
Interpret what is XML Transformation.,easy,2,srm
Discuss the various set of tasks in BIA?,easy,2,srm
(16) Explain the data forwarding procedure in Mobile IP.,medium,3,srm
Define feature engineering in the context of text data,easy,1,srm
Compare and contrast review and audit.,easy,2,srm
spacing. (16) 5 Calculate the loop inductance per km of a single-phase line comprising of 2,hard,5,srm
Differentiate between Ordering and Numbering in iSCSI communication?,hard,5,srm
- Explain about File-Level Virtualization 13,easy,2,srm
Draw the circuit diagram for single phase transformer and also,medium,3,srm
Enumerate the test procedure of a sequential circuit with random,medium,4,srm
"You are designing a data governance framework for a healthcare organization to ensure compliance with regulatory requirements and protect patient data privacy. Create a data governance framework that encompasses data classification, access controls, data retention policies, and data quality management processes to ensure the integrity, confidentiality, and availability of healthcare data.",hard,6,devane
Explain the role of the application layer in IoT.,easy,2,srm
What do you mean by normalization?,easy,1,devane
Mention one benefit of using molten salt in TES.,easy,1,srm
Express magnetic field intensity H in all the regions if cylindrical 3,easy,2,srm
Tell the applications of IoT in Healthcare.,easy,1,srm
dynamic hazards from an asynchronous sequential circuit? 4. Discover an asynchronous sequential circuit with,medium,4,srm
What is the effect of temperature on elasticity of a material?,easy,2,srm
Classify the types of turbine speed measurement.,easy,2,srm
What do you associate with the color blue?,easy,2,devane
nuclear spins? 19 Mention the importance of faraday law of induction CO 3,easy,2,srm
Briefly explain any TWO (2) security objectives of audit trails.,easy,2,devane
List different speech recognition algorithms.,easy,1,srm
Identify non-metals applied in AM.,easy,1,srm
Which protocol was replaced by SSH and why? Which version is currently in the,easy,2,srm
Apply the principles of economics to analyze the impact of taxation policies.,medium,3,devane
What is the function of an actuator in an IoT system?,easy,2,srm
How does the GROUP BY clause work in SQL?,easy,2,srm
tonnes of fish. The temperature of the fish when supplied = 25oC; storage temperature of fish required = -8oC; specific heat of fish above freezing point = 2.93 kJ/kg oC; specific heat of fish below freezing point = 1.25 kJ/kg oC; freezing point of fish = -3 oC. latent heat of fish = 232 kJ/kg. If the cooling is achieved within 8 hours; find out: a. Capacity of refrigeration plant. b. Carnot cycle C.O.P. between this temperature range. c. If the actual C.O.P. is 1/3rd of the Carnot C.O.P. find out the power required to run the plant. 15. An air refrigeration open system operating 16,hard,5,srm
What are the necessary conditions for the generators to be self,easy,1,srm
The input output relationship of a discrete system is given by y(n),medium,4,srm
Argue for the advantages of renewable energy sources.,hard,5,devane
What is fair Scheduler ?,easy,2,srm
Show how E-CRM can be used to improve marketing positioning as explained in the article,medium,3,devane
Implement the following Boolean function using PLA.,medium,3,devane
Define exploration and exploitation in reinforcement learning.,easy,2,srm
List the digital image properties..,easy,1,srm
Explain the structure of a process planning module and database. How does,medium,3,srm
16 the remedial measures to be carried out to safe guard against from the dark sides. 15 -,medium,4,srm
List types of virtualization.,easy,1,srm
Examine the major equipment of a substation.,medium,3,srm
energy. 8. What is a Micro-Hydel-PV hybrid system?,medium,3,srm
Define Equalizer.,easy,1,devane
2 2 CO 1 Find the 3rdeigen value. If the characteristic equation of a matrix is 𝜆2 − 3𝜆 − 10 = 19.,medium,4,srm
defects and prioritizing improvement. 7. Discuss the usual process followed in assessment methodologies.,medium,4,srm
Explain with neat sketch battery ignition system.,easy,1,devane
Design a novel prefabricated modular construction system for rapid deployment of affordable housing in disaster-prone regions.,hard,6,devane
organizations. Examine the major productivity problems faced by,medium,4,srm
Explain the construction of current transformer and potential CO 01,medium,3,srm
Infer the use of Gantt and timeline charts in visualizing the (7) project progress with suitable diagrams.,medium,4,srm
(5) (iii). State the advantages of fixed speed system over Variable speed systems. ( 3) Show the various grid connected issues and its 5.,medium,3,srm
Mention one feature of CoAP.,easy,2,srm
Compare and contrast between information resource and,medium,4,srm
Show the objectives of ground wire.,medium,3,srm
Define the Principles of Software Defect Prevention. (7) (ii) List key process changes for Defect Prevention in software,easy,1,srm
Explain the term Rescheduling and Updating.,easy,1,devane
Differentiate flashing and cavitation in a control valve.,easy,2,srm
Identify the components of total road load resistance.,easy,1,srm
oven used in Gas chromatography? 5. What do you mean by the open tubular columns in gas,easy,1,srm
cycle. 12. Define regeneration in steam power plants.,easy,1,srm
Solve a physics problem involving calculating the acceleration of an object in free fall.,medium,3,devane
"Contrast the features and limitations of classical machine learning algorithms (e.g., SVM, kNN, logistic regression) and deep learning algorithms in handling structured and unstructured data.",medium,4,devane
How is Cyber Jurisdiction applied in international 12,medium,4,srm
Why is NFV suitable for telecom networks?,easy,2,srm
"Write short notes on ferromagnetic, Antiferromagnetic and ferrimagnetic materials.",medium,4,srm
Write the part program for the part shown below. 16 BT-3,medium,4,srm
What is meant by motion adjustment mechanism?,easy,2,srm
What are the different stages in thread?,easy,2,srm
Compare historical events to contemporary situations,easy,2,devane
Assess the commonly accepted Security Principles.,easy,2,srm
Explain an algorithm to find in-degree and out-degree of a vertex with a suitable example.,medium,3,devane
"packaging. 15. What is wafer-level packaging, and what advantages does it offer?",easy,1,srm
Describe the difference between engineering and operator workstations in,easy,2,srm
Analyze the patterns in sales data to identify growth opportunities.,medium,4,devane
connects the mind and the body. Describe the move from materialism to mental science and explain its 2,medium,4,srm
What modifications would you make to a social networking app to enhance user privacy?,hard,6,devane
Describe how visual and auditory channels are used in multimedia 24.,easy,2,srm
Examine the difference between stress and strain in material mechanics?,easy,1,devane
Convert the following numbers to their decimal equivalents 1.,medium,3,srm
enhancing patient care. 14 Explain how associative networks facilitate information 13,medium,4,srm
List one application of a bi-directional converter in,easy,2,srm
Summarize the ways for over voltage protection.,easy,2,srm
How education and training helpful in prevention of medical hazards?,easy,2,srm
Compare ZVC and ZCS inverter topologies.,easy,2,srm
Rankine cycle with one open feedwater heater. 8. Compare simple Rankine cycle and 16,medium,4,srm
How can you set different colors for line plot.,easy,2,srm
analysis of PLL. 6. How would you describe the block diagram of PLL with,medium,3,srm
saturation on MOSFET performance and power consumption. 4. Determine the variation in dynamic power dissipation,medium,3,srm
Outline QoS regulation in secure body area networks.,easy,1,srm
(b) Identify the Laplace Transform of the function [ ] BTL -4,medium,4,srm
the user. Write a program that takes a sentence as input from the user and computes the 5,medium,3,srm
compatibility? 20. Report on why fuel system compatibility is,easy,2,srm
Write the example for the Learn One Rule algorithm.,easy,1,srm
Science Problems. (15) Briefly explain in detail about Data Science Process Life Cycle.,hard,5,srm
"characteristics of servo motor. 11. Explain the construction, operation and",medium,4,srm
Define interactive presentations.,easy,1,srm
Name the major pollutants emitted from diesel engines. 1,easy,1,srm
With suitable diagram explain polarity test on transformer.,easy,2,devane
What is employee demand prediction?,easy,1,srm
System? 15 Define MapReduce.,easy,1,srm
Compound motor. 21. Mention speed torque characteristics of dc series,hard,6,srm
Explain applications and selection criterion of valves in robotics and automation systems.,easy,1,devane
Mention the crude oil or petroleum contamination.,easy,1,srm
What is meant by compensation in AC bridges? 3,easy,1,srm
Level 1. Explain NFV architecture and framework with diagrams.,medium,3,srm
How can you use knowledge from neuroscience and technology to develop new gadgets?,hard,6,devane
How many instructions in the instruction set of RISC computer?,easy,1,devane
What is meant by bit sliced data path organisation?,easy,2,srm
What is multithreading?,easy,1,devane
"In a two-column table, list FIVE (5) tools used in the technology-integrated instruction and the traditional instruction respectively.",easy,1,devane
"using 12 bit PCM and a DM system. If 25 cycles of voice signal are digitized. Calculate the Signaling rate, required bandwidth and number of bits required to be transmitted. 7. In a single integration DM scheme, the voice signal",medium,4,srm
List the types of neuromuscular disorders.,easy,2,srm
Calculate the rate of heat loss from a thermoflask if the polished silver surfaces have emissivities of 0.,medium,3,devane
How much is the adequate value of Phase margin for a stable system?,easy,1,srm
Name two key principles of ISO 9000-3.,easy,2,srm
Interpret few techniques used to improve the coverage and,easy,2,srm
Define dynamic programming. 8. Write the general procedure of dynamic programming.,easy,1,srm
in detail. (13) Explain in detail about the public key distribution of 16,hard,5,srm
Define Ensemble Learning with an example.,easy,1,srm
Prove that 242( )(l o g ) () .ba a rba r b rrrï´ïï´ï ïï ï½ ï­ ï´,medium,4,devane
Investigations. 17. Name two challenges in implementing uniform training programs for cloud,easy,1,srm
How can you use your knowledge of political science to analyze policy implications?,medium,3,devane
Consider the following processes arrival time and burst time are as shown.,medium,3,devane
TurboGears. 7. Outline the key features that differentiate TurboGears from other,medium,4,srm
Q. Questions BT Competence CO No Level 1. What is Switched Reluctance Motor drive?,easy,1,srm
"With the neat diagram, explain principle of working of thermocouple. Give its examples along with the temperature ranges.",easy,1,devane
Compare and contrast capitalism and socialism.,easy,2,devane
Explain general concepts of SDN controllers with real-world,medium,3,srm
image. Explain how spatial correlation affects image processing. 11 Mention the common arithmetic operations used in image (16) CO 1,medium,3,srm
Identify the properties of Enzymes.,easy,2,srm
Describe the pre envelope and complex envelope of a (8) CO1 signal with an illustrative diagram. Compare the various parameters of different form of amplitude,medium,4,srm
synchronous motor. 14. What is synchronous condenser?,easy,1,srm
Explain how timers are used for PWM generation.,easy,2,srm
What is virtual instrumentation? 5,easy,1,srm
List two key challenges in measuring volatility of data.,easy,1,srm
Determine the following,medium,3,srm
Describe the cryptography in identity management.,easy,2,srm
transfer characteristics. 11.,medium,4,srm
Compare the dynamic response of buck and boost converters.,easy,2,srm
Define BiCMOS technology?,easy,1,srm
Describe the steps involved in developing and deploying a smart,medium,3,srm
Define input offset current.,easy,1,srm
Explain in detail the propagation of ultrasound waves in (16) CO 5,medium,3,srm
Mention the two levels of meaning in communication process.,easy,2,srm
Give basic definition of Y parameters explain why Y parameters are called short circuit admittance parameters.,easy,1,devane
current measurement. (16) 5. Expalin the various types of applications that can be used with Hall effect,medium,4,srm
Use a compliance mechanism to explain how robots can perform insertion tasks,medium,3,srm
It is better to use 10 fins of 5 cm length than 5 fins of 10 cm length. State and prove correctness of the statement. Take properties as follows :,easy,1,srm
"Explain the different architecture of OS starting from simple structure, layered structure, micro kernels, modules and hybrid systems, with",medium,3,srm
Briefly explain the mechanism of RNA interference.,easy,2,devane
"density, power density, and efficiency. 3. Compare the working, advantages, and",medium,3,srm
Explain construction of brushless DC motor.,easy,1,devane
What is RGA?,easy,2,srm
Define intermodulation noise.,easy,1,srm
Obtain the expression for the field and the radiation pattern,medium,3,srm
Name two benefits of integrating Struts with Agile methodologies.,easy,2,srm
Appraise the speech's effectiveness based upon the class' criteria.,hard,5,devane
What are the vulnerabilities associated with physical attacks on wireless 4 sensor networks?,easy,1,srm
Can you invent another character for the story?,hard,6,devane
following Parameters for its equivalent circuit R1 = R4 = 0.04 ohm and X1 = X4 = 0.1 ohm is to be operated at one half of its rated voltage and 45 Hz frequency. Calculate (i) the maximum torque at this reduced voltage and frequency operation in terms of its normal value and (ii) the starting torque at this reduced frequency and the voltage in terms of its normal value. 16 (i) Explain the operation of constant slip speed,medium,4,srm
Describe in detail the different methods implemented for reducing power consumption in BAN devices.,medium,3,srm
List the launching stages of a satellite with example.,easy,1,srm
Compare and contrast various cryptographic algorithms for securing communications over the Internet and assess their resistance to attacks.,medium,3,devane
Mention any two examples of medical sensors.,easy,1,srm
Why sensitive detector is required for Spectrophotometer?,easy,2,srm
rectifier? 23. What is sample and hold circuit? Point out where it is used? Why?,easy,1,srm
Mention any one advantage of using CNG.,easy,2,srm
differ from their mean? 18 What is normal curve?,easy,2,srm
A Rectangular block of material is subjected to stresses on perpendicular planes as shown in figure below.,medium,3,devane
• Explain high-resolution imaging in TEM. How is it useful in,medium,4,srm
Specify the three types of completeness in detail.,medium,4,srm
What is the need for converting a first order filter into a second order,easy,1,srm
Define a fact table and a dimension table.,easy,1,srm
What type of impedance is measured using Maxwell bridge? 3,easy,1,srm
Differentiate between static and dynamic gestures.,easy,2,srm
"Explain the relationship between processors, memories, and interconnects in a 5",easy,2,srm
translation schemes. 11. State the type expressions.,easy,1,srm
frequencies f1 and f2. The lower frequency f1 is 1200 Hz and signaling rate is 500 baud. Calculate f2. 23. Differentiate between baseband transmission and passband,easy,2,srm
Compare RDBMS and HIVE.,easy,1,srm
Analyze the historical documents to reconstruct historical events.,medium,4,devane
Brief the term spatial filtering. CO 3,easy,2,srm
Differentiate briefly between handoff and roaming.,easy,1,srm
platforms. Examine the role of programming in controlling IoT devices using 5,medium,4,srm
Let's discuss the ethical considerations of artificial intelligence in warfare.,easy,2,devane
Explain the operation of SR flip flop with truth table.,easy,2,devane
How could old fashion trends be combined to create a fresh and modern style?,hard,6,devane
Write down any four operations performed by a shaper.,easy,1,srm
networks. 13 Differentiate ‘Free Floats’ from ‘Interfering Floats’.,easy,2,srm
With the help of a block diagram explain the concept of SMPS.,easy,1,devane
What is data aggregation?,easy,1,srm
"terms of range, alignment, and energy loss. 10. Describe the concept of simultaneous wireless information and",medium,4,srm
Identify the use of power circle diagram.,easy,1,srm
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,hard,6,devane
What is difference between K means and Gaussian mixture?,easy,1,srm
Define alarm system.,easy,1,srm
Differentiate between class variables and instance variables.,easy,1,srm
What are the major factors that contribute to carbon emissions in an,easy,1,srm
What is bootstrapping in the context of model evaluation?,easy,2,srm
Can a semi-converter fed three-phase DC drive operate,easy,1,srm
What is polarization diversity?,easy,1,srm
Solve a hypothetical scenario involving failure analysis of a wind turbine blade and propose strategies for enhancing reliability.,medium,3,devane
Explain acceleration image principle with neat sketch.,easy,1,devane
Make a diagnosis or analyze a case study.,medium,4,devane
Which tier handles data presentation in a three-tier architecture?,easy,1,srm
(16) 𝑥 ̇1 0 1 0 𝑥1 0 [𝑥2̇ ] = [0 0 1 ] [𝑥2 ] + [0] 𝑢 𝑥3̇ 0 −2 −3 𝑥3 1 𝒙𝟏 𝒚 = [𝟑 𝟒 𝟏] [𝒙𝟐 ] 𝒙𝟑 14. Elaborate whether the given system is completely Controllable and Observable CO 5,medium,4,srm
Why is meant by cooling tower ?,easy,1,srm
systems for efficient energy management.,hard,5,srm
Explain various features of the 8051 Microcontroller.,easy,1,devane
− 𝑧 −1 H(z) = 1−0.2 𝑧 −1 −0.15𝑧 −2 (i) Determine the difference equation of the system. (6) (ii) Show pole-zero diagram and hence find magnitude at 𝛚= 0 (5) and 𝛚= 𝜋. (5) (iii) Find the impulse response of the system. 17. LTI discrete time system y(n) = 3/2 y(n-1)-1/2 y(n-2) + x(n) +,medium,4,srm
environments. Illustrate the working principle of MQTT protocol in an IoT,medium,3,srm
What is the main idea of Left factoring? Give an example.,easy,2,srm
Level 1 Define a multilayer perceptron (MLP).,easy,1,srm
What is meant by Big Data in IoT?,easy,2,srm
"mm bore X 130 mm stroke develops 28 kW while running at 1500 r.p.m. and using a 20 per cent rich mixture. If the volume of the air in the cylinder when measured at 15.5oC and 762 mm of mercury is 70 per cent of the swept volume, the theoretical air-fuel ratio is 14.8, heating value of petrol used is 45980 kJ/kg and the mechanical efficiency of the engine is 90%, find: a. The indicated thermal efficiency b. The brake mean effective pressure. Take R = 287 Nm/kg K. 15. A four stroke diesel engine has a piston 16",hard,5,srm
LoWPAN networks. (ii)Mention the challenges and solutions specific to low-power (8) wireless networks. 5. Compare and contrast Mesh-Under and Route-Over routing,medium,4,srm
definition. 18 What is meant by Recursive function? Give an example.,easy,1,srm
The scope of institutional shareholder activism includes attempts made to bring about changes in a company's behavior for adoption of good governance practices. Differentiate shareholder resolution and proxy voting as the two major tools for institutional shareholder to promote corporate governance.,medium,4,devane
How do virtual firewall contexts enhance security?,easy,1,srm
SAINT provides three optional modes of operation. List and 23,hard,5,srm
How Dominance (D) personalities differ from Steadiness (S),easy,2,srm
Examine the need of software inspection process in determining the quality of a software product.,medium,4,srm
Examine the role of packet switching in the development of modern 5,medium,4,srm
Define the MVC architecture.,easy,1,srm
class? 12. Differentiate between Action and ActionSupport.,easy,2,srm
DC machines. 14 Explain how speed feedback achieved in speed,easy,2,srm
electrical drive. 19 Illustrate an electric drive and explain its classification.,easy,2,srm
"necessary expressions. (15) (i)How would you calculate EIRP in satellite downlink? (10) CO3 (ii) A satellite is operated at an EIRP of 56 dBw with an output 3. 3BO of 6 dB. The transmitter feeder losses amount to 2 dB, and",medium,4,srm
Nitrobenzene  undergoes electrophilic substitution at meta only.,easy,1,devane
PMBLDC motor. 17. Show how are the directions of rotations,easy,2,srm
"How can we construct H given I, B and E?",medium,3,devane
Why does PMSG not require field excitation?,medium,4,srm
"Estimate the distance between the given vectors A (1, 2, 3) and B(2, 1",easy,2,srm
"State, define and list the advantage(s) and disadvantage(s) of the THREE animal selection methods for multiple traits.",easy,2,devane
Speech Synthesis (SPSS) with the help of a suitable example or system workflow. 13 Justify the use of deep learning models in place of traditional signal processing,hard,5,srm
security to protect the organization’s ability to function. Depict Access control architecture for e-commerce company by assuming role and responsibilities 6 What is Cybersecurity? What are the elements of cyber security? What are the,medium,3,srm
How does a decorrelator attempt to suppress multiuser interference?,easy,2,srm
only to salient pole 20. Distinguish between transient and sub-transient,easy,1,srm
Imagine you are designing a high-performance suspension system for a racing car. Discuss how you would apply kinematics and dynamics analysis techniques to optimize suspension geometry and vehicle handling characteristics for different track conditions.,medium,3,devane
Demonstrate how jump cuts can be effectively used in a music video or,medium,3,srm
Name any four types of generators used in wind energy 5.,easy,2,srm
across the motor? 21. Define duty cycle in chopper-fed DC drives.,easy,1,srm
determined. Include signal waveforms and timing calculations for a 4-cylinder engine. Demonstrate how to calibrate and test an EGO sensor in a,medium,3,srm
Mention any two features of SCIG under variable wind,hard,6,srm
Can you recite a famous quote from a philosopher?,easy,1,devane
How does the network layer function in data transfer?,easy,2,srm
What is meant by Photolithography?,easy,2,srm
Relate the terms optimized fleet carrier and life support.,easy,2,srm
Describe the limitation of LMTD method. How is ɛ-NTU method,easy,2,srm
Write the difference between finite automata and Turing machine.,easy,1,srm
Calculate the carrier densities of the doped semiconductor at 400 K.,medium,3,devane
What is language processing?,easy,1,srm
Define training and development analytics.,easy,1,srm
fuel cell technologies. 4. Discuss different types of fuel cells with structure,medium,4,srm
Describe no load and blocked rotor test conducted on 3 phase induction motor with suitable circuit diagram write down the calculations involved.,easy,2,devane
Express the types of production.,easy,2,srm
What is mean by Clone Operation?,easy,1,srm
Debate the ethical considerations of using predictive analytics for user behavior analysis and targeted advertising in mobile applications.,hard,5,devane
What is the necessity of ventilation and explain types of ventilation?,easy,2,devane
"As a cybersecurity analyst, you are investigating a suspected network intrusion. Discuss how you would apply packet sniffing tools and intrusion detection systems to analyze network traffic and identify malicious activity.",medium,3,devane
uniform linear array contains 50 isotropic radiation with an inter element spacing of λ/2. 15. Write about antenna arrays.,easy,1,srm
How does SCADA handle issues?,easy,2,srm
details. (8) CO 3 (ii). Give short notes on inverters.,easy,2,srm
"The code vector [1110010] is sent, the received vector is [1100010].",easy,1,srm
"in a short video sequence. 12. How to import, organize, and manage media assets using digital",medium,3,srm
What is glycolipid?,easy,1,devane
Derive the expression for minimum starting speed of a centrifugal pump.,medium,4,devane
traditional Boolean logic? 23. What is the logic used in reasoning with uncertain information?,easy,1,srm
replication. (7) ii) Explain distributed consensus in closed environment? (6) 9. i) What is paxos and multi-paxos algorithm?,medium,3,srm
troubleshooting and security testing. 8 Describe tools commonly used for sniffing network traffic. 16,medium,4,srm
evolution of robotics in medical and space applications. (16) 17. Critically,hard,5,srm
Point out few examples of machine learning applications,easy,1,srm
Write in detail mineral wealth of GONDWANA.,easy,2,devane
Explain Challenge of Long-Term Dependencies.,hard,6,srm
Write the chemical formula for lead-acid battery,easy,1,srm
application? 10. What is end effector? Give some examples of Robot End Effector.,easy,2,srm
"f(a,b,c)= ∑m(3,4,5,7) using suitable multiplexer. 7. i. Implement the following Boolean function",medium,3,srm
"CO1 construction and working of U-V spectrophotometer. 7. i. With relevant diagrams, examine the working",medium,3,srm
CO2 transformer ? 8. Explain the term of transformer under no load condition with phasor,easy,1,srm
"Interpret the concept of mechanical properties of materials, discussing their significance in material selection and design.",easy,2,devane
Also write briefly about the energies involved in the growth of domain. (16) 8. Explain the different types of energies that are responsible for t h e growth of,medium,4,srm
Define magnetic energy storage.,easy,2,srm
How the gyro mechanism can be used in CyberTron. ?,easy,2,srm
Provide labels for the parts of an electric circuit.,easy,1,devane
?? 23 /Can sniffing be legal in some circumstances? Justify.,easy,2,srm
Name the uses of microwave filters.,easy,1,srm
Verify the value of user ratings in evaluating mobile apps.,hard,5,devane
output range is 0 to 10 V and whose input binary number is 0110 for a 4-bit DAC? 20. Define gain error and monotonicity with respect to data converters.,easy,1,srm
Solve the geometry problem involving angles and polygons.,medium,3,devane
Let's discuss the challenges of space exploration.,easy,2,devane
Discuss the potential consequences of cyber crime for businesses.,easy,2,srm
Provide FOUR (4) reasons of using aggregate in concrete production.,easy,2,devane
Generalize on filled area primitive,easy,2,srm
Level 1. The overall gain of a multistage amplifier is 140.When negative,easy,1,srm
Discuss on checking off symbols.,easy,2,srm
(i) Constructed Wetland for Wastewater Treatment. (7) (ii) The Conventional Septic Tank Home Treatment System. (6) 7 Recognize the working principle of industrial stirred fermenters.,medium,3,srm
Justify whether the dam and sire are inbred or outbred.,hard,5,devane
Explain the different mechanical properties of Ceramics.,medium,4,devane
Illustrate the STL models with an example. 13,medium,3,srm
efficiency. 6 Define boiler efficiency.,easy,1,srm
Illustrate various loss functions used in object detection models and their impact.,medium,4,srm
Write short notes on Air pollution due to,medium,3,srm
How would you develop a new software application for project management?,hard,6,devane
"their performance, scalability, and contextual capabilities. Support your evaluation with examples. 4",hard,5,srm
1.3 mA. Demonstrate the concept of operating point with suitable graph.,easy,2,srm
Quote the feasibility of cogeneration.,medium,4,srm
Draw the single line diagram of ring main distributor,easy,1,srm
Illustrate in detail the method to discover petroleum mines under sea.,medium,3,srm
Summarize the steps in the,medium,3,srm
Point out the uses of web hacks.,medium,3,srm
Write down the expression for differential volume element in terms 1,easy,2,srm
Enlist any four types of flooring.,easy,1,devane
Give one example where power flows in both directions in a system. 21 What is a grid-interactive inverter?,medium,3,srm
the context of digital investigations? 6 Name three common types of digital evidence controls used to,hard,6,srm
Generators. 19. Generalize the requirements of the excitation systems?,hard,6,srm
(a) −2𝑢(𝑡 − 1) (b) 3𝑟(𝑡 − 1) (c) −2𝑟(𝑡) (d) 𝑟(−𝑡 + 2) Where u(t) and r(t) are unit step and unit ramp signal respectively. (ii) Determine the power and R.M.S value of the following (8) signal 𝑦(𝑡) = 10sin(50𝜋𝑡 + 𝜋⁄4)+ 16sin(100𝑡 + 𝜋⁄3) 9. (i) Find whether the following systems are dynamic or not,medium,3,srm
ii) Assess the Secure Software Development. (7) 12,medium,4,srm
State the objectives of copyright law.,easy,2,srm
. What is a distributed transaction?,easy,1,srm
State two advantages of using a public cloud.,easy,1,srm
What are the advantages of Digital Storage oscilloscope over Dual Trace oscilloscope.,easy,2,devane
"parallel conductors 1m apart and 1cm in diameter, When the material of conductor is (i) Copper of relative permeability 1 (8) (ii) Steel of relative permeability 50. (8) 6 Derive the inductance of three phase double circuit line by",hard,6,srm
List the commonly used dialysis membrane materials.,easy,1,srm
"GHz exists in a lossy dielectric medium that has a relative permittivity of 2.5 and loss tangent of 0.002. Find the effective conductivity of the lossy medium. 21. Formulate the expression for the intrinsic impedance, attenuation 5",easy,2,srm
Name two common materials used for mechanical parts of a 2R manipulator.,easy,1,srm
Interview the top down and bottom approach of the estimation in (13) detail.,medium,3,srm
Summarize about troposcatter propagation.,easy,2,srm
Select Adder architectures. Use Carry Save Adders to improve performance in multi-,medium,3,srm
"Two parallel discs 50 cm in diameter are spaced 40 cm apart with one disc located directly above the other disc. One disc is maintained at 500°C and other at 227°C. The emissivities of the discs are 0.2 and 0.4, respectively. The curved cylindrical surface",medium,3,srm
What is a pipeline stall?,easy,2,srm
Explain the working of CB Configuration of NPN transistor.,medium,4,srm
What are tailored reports?,easy,2,srm
Use statistical analysis to determine the relationship between variables in a survey.,medium,3,devane
"(VMware, Xen, KVM, Hyper-V) for a data center.",hard,6,srm
Criticize the fairness and transparency of spectrum auction policies for allocating frequency bands to telecommunications operators.,hard,5,devane
Define statutory clearance.,easy,1,srm
How does PIM interact with other unicast routing protocols like OSPF or BGP?,easy,2,srm
(ii) Back face detection (6) Summarize on the following hidden surface elimination methods 17 (i) Scan line Method and Painter’s algorithm,hard,6,srm
Q. BT Questions Competence No. Level 1 List any two essential characteristics of cloud computing.,easy,1,srm
Fourier transformation. 7 Describe the construction and working of MRI subsystems with (13) CO 3,medium,3,srm
Expand the term ALARA.,easy,1,srm
Categorize the different types of social media platforms.,medium,4,devane
"Using the comparison table, describe an example of how SMTP, POP3, and",hard,6,srm
What is the curse of dimensionality?,easy,1,srm
information can be collected from multiple sources. (16) 5 (i),medium,4,srm
What is email harassment and how does it affect individuals?,easy,1,srm
Explain in detail what precaution is necessary to be taken while operating DC Series motor.,easy,2,devane
What is Spring MVC?,easy,1,srm
What makes a service vulnerable to brute force attacks?,easy,2,srm
CO3 Define the term burden on CT.,easy,1,srm
data exchange. 14,hard,6,srm
Identify the importance of proper induction programs.,easy,1,srm
Give examples for physical barriers of communication,easy,1,srm
i) Write about sensors and end effectors commands with,hard,6,srm
Deduce the assumptions made to determine the CO1 distribution of coil mmf.,hard,5,srm
"bands. (13) With necessary sketches, explain the operation of",medium,4,srm
Outline about time and space complexity of TM.,easy,1,srm
What are the advantages of direct-drive PMSG wind,medium,3,srm
Derive the expression for elevation angle for geostationary,medium,4,srm
Devices (IEDs) and,medium,3,srm
Name  the different standards used for the Designation of Steels.,easy,1,devane
Explain class template & function template with example.,easy,1,devane
motors. 2 List losses occurring in electric motors.,easy,1,srm
What is an infusion pump?,easy,1,srm
Define phase cross over frequency.,easy,1,srm
Draw the physical and Ladder diagram program for the process control,medium,3,srm
List the importance of Data Breach Repository.,easy,1,srm
computing workloads. 11 Critically,hard,5,srm
approach with the help of a diagram. i). Identifythe types of attacks in Information Security. (6) 4.,medium,4,srm
Write the Maxwell’s expression for free space. 4,easy,1,srm
Name few tests performed using audiometer.,easy,1,srm
standards in development projects. 19. Examine the differences in approaches to establishing software,medium,4,srm
them with an example. (16) 2. Briefly describe the type of Units.,medium,3,srm
Demonstrate the goal of assessment methodologies.,medium,3,srm
loss in dB/km. 11. Describe the fibre optic communication with neat block diagram and,medium,4,srm
Identify one limitation of LOM.,easy,2,srm
compare dynamic programming and divide and conquer approaches.,medium,4,srm
State and write properties of materials used for solders and materials used for different types of fuses.,easy,1,devane
What is the need for regression testing and system testing?,easy,1,srm
Determine plug setting multiplier for an overcurrent relay given feeder current,medium,3,srm
diode. (16) 3. Derive the expression of the Space charge or transition capacitance,medium,4,srm
Define the probability density function of x(t),easy,1,srm
(ii) Draw the characteristics diagram and obtain the mathematical representation of the test signals. (13) 2.,medium,4,srm
Distinguish between AAS and FES.,easy,2,srm
Discuss briefly the principle and working of quantum dot laser with necessary,medium,4,srm
"Wh/kg and a capacity of 120 Ah. Calculate the total energy stored in the battery, assuming a nominal voltage of 3.7 V. 16. Compare Li-ion and sodium-ion batteries for grid",medium,4,srm
List the advantages and disadvantages of an electronic multimeter. CO 04,easy,1,srm
"rate of water is 150gpm, at a differential pressure of 6 PSI. 17. What is ISA S 75.01 standard?",easy,2,srm
Implement the given logic function using a 4:1 multiplexer,medium,3,devane
Level 1 Name the characteristics of Bio signals?,easy,1,srm
How does a recoverable schedule differ from a non-recoverable,easy,2,srm
